,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Intangible Assets,2761000000.0,2711000000.0,3180000000.0,2603000000.0,2717000000.0,2587000000.0
Capital Surplus,814000000.0,882000000.0,943000000.0,851000000.0,945000000.0,1034000000.0
Total Liab,23777000000.0,23929000000.0,23789000000.0,22677000000.0,22689000000.0,23094000000.0
Total Stockholder Equity,8226000000.0,8591000000.0,9104000000.0,9434000000.0,10108000000.0,9734000000.0
Minority Interest,166000000.0,161000000.0,156000000.0,162000000.0,156000000.0,154000000.0
Other Current Liab,367000000.0,555000000.0,247000000.0,606000000.0,353000000.0,606000000.0
Total Assets,32169000000.0,32681000000.0,33049000000.0,32273000000.0,32953000000.0,32982000000.0
Common Stock,561000000.0,561000000.0,561000000.0,561000000.0,561000000.0,561000000.0
Other Current Assets,441000000.0,498000000.0,572000000.0,594000000.0,529000000.0,553000000.0
Retained Earnings,16060000000.0,15902000000.0,16272000000.0,16780000000.0,17597000000.0,17589000000.0
Other Liab,3962000000.0,3965000000.0,4513000000.0,4462000000.0,4624000000.0,4307000000.0
Good Will,14797000000.0,15034000000.0,15517000000.0,15458000000.0,15775000000.0,15648000000.0
Treasury Stock,-9209000000.0,-8754000000.0,-8672000000.0,-8758000000.0,-8995000000.0,-9450000000.0
Other Assets,3187000000.0,3295000000.0,2914000000.0,3469000000.0,3517000000.0,3558000000.0
Cash,1711000000.0,2388000000.0,2089000000.0,1120000000.0,888000000.0,1398000000.0
Total Current Liabilities,5928000000.0,6530000000.0,6556000000.0,6123000000.0,5816000000.0,6659000000.0
Deferred Long Term Asset Charges,618000000.0,623000000.0,702000000.0,704000000.0,669000000.0,692000000.0
Short Long Term Debt,716000000.0,1216000000.0,517000000.0,1015000000.0,516000000.0,516000000.0
Other Stockholder Equity,-5582000000.0,-5148000000.0,-5110000000.0,-5197000000.0,-5153000000.0,-5345000000.0
Property Plant Equipment,2748000000.0,2748000000.0,2750000000.0,2654000000.0,2799000000.0,2723000000.0
Total Current Assets,8097000000.0,8312000000.0,8155000000.0,7549000000.0,7573000000.0,7877000000.0
Long Term Investments,579000000.0,581000000.0,533000000.0,540000000.0,572000000.0,589000000.0
Net Tangible Assets,-9332000000.0,-9154000000.0,-9593000000.0,-8627000000.0,-8384000000.0,-8501000000.0
Net Receivables,5945000000.0,5426000000.0,5494000000.0,5835000000.0,6156000000.0,5926000000.0
Long Term Debt,11985000000.0,11532000000.0,10796000000.0,10242000000.0,10257000000.0,10228000000.0
Accounts Payable,2668000000.0,2662000000.0,3050000000.0,2940000000.0,2830000000.0,2833000000.0
Deferred Long Term Liab,,,282000000.0,,,
