,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Investments,-13000000.0,4000000.0,92000000.0,107000000.0
Change To Liabilities,87000000.0,23000000.0,120000000.0,241000000.0
Total Cashflows From Investing Activities,-956000000.0,-1089000000.0,-5671000000.0,-814000000.0
Net Borrowings,672000000.0,328000000.0,5110000000.0,-778000000.0
Total Cash From Financing Activities,-1009000000.0,-1310000000.0,3306000000.0,-1880000000.0
Change To Operating Activities,-286000000.0,-207000000.0,-843000000.0,-340000000.0
Issuance Of Stock,166000000.0,93000000.0,158000000.0,132000000.0
Net Income,1492000000.0,1650000000.0,1742000000.0,2016000000.0
Change In Cash,179000000.0,-139000000.0,89000000.0,934000000.0
Repurchase Of Stock,-949000000.0,-742000000.0,-574000000.0,-132000000.0
Effect Of Exchange Rate,251000000.0,-168000000.0,93000000.0,246000000.0
Total Cash From Operating Activities,1893000000.0,2428000000.0,2361000000.0,3382000000.0
Depreciation,481000000.0,494000000.0,962000000.0,1096000000.0
Other Cashflows From Investing Activities,6000000.0,-8000000.0,-76000000.0,-9000000.0
Dividends Paid,-734000000.0,-800000000.0,-880000000.0,-932000000.0
Change To Account Receivables,-454000000.0,-78000000.0,-130000000.0,-75000000.0
Other Cashflows From Financing Activities,-164000000.0,-189000000.0,-508000000.0,-170000000.0
Change To Netincome,536000000.0,586000000.0,468000000.0,384000000.0
Capital Expenditures,-302000000.0,-314000000.0,-421000000.0,-348000000.0
