,2021-04-03,2021-01-02,2020-10-03,2020-06-27
Intangible Assets,6649000000.0,6719000000.0,6774000000.0,6842000000.0
Capital Surplus,4443000000.0,4411000000.0,4433000000.0,4400000000.0
Total Liab,18404000000.0,19677000000.0,19070000000.0,19554000000.0
Total Stockholder Equity,15931000000.0,15638000000.0,15254000000.0,14858000000.0
Minority Interest,139000000.0,143000000.0,132000000.0,146000000.0
Other Current Liab,1386000000.0,1631000000.0,826000000.0,935000000.0
Total Assets,34474000000.0,35458000000.0,34456000000.0,34558000000.0
Common Stock,45000000.0,45000000.0,45000000.0,45000000.0
Other Current Assets,896000000.0,323000000.0,367000000.0,353000000.0
Retained Earnings,15716000000.0,15399000000.0,15100000000.0,14769000000.0
Other Liab,4008000000.0,4037000000.0,3677000000.0,3629000000.0
Good Will,10555000000.0,10913000000.0,10899000000.0,10890000000.0
Treasury Stock,-4273000000.0,-4217000000.0,-4324000000.0,-4356000000.0
Other Assets,1487000000.0,1510000000.0,949000000.0,967000000.0
Cash,877000000.0,2406000000.0,1420000000.0,1365000000.0
Total Current Liabilities,4612000000.0,4849000000.0,4234000000.0,4273000000.0
Short Long Term Debt,580000000.0,566000000.0,548000000.0,750000000.0
Other Stockholder Equity,-150000000.0,-102000000.0,-179000000.0,-217000000.0
Property Plant Equipment,7661000000.0,7664000000.0,8128000000.0,8055000000.0
Total Current Assets,8014000000.0,8544000000.0,7598000000.0,7699000000.0
Long Term Investments,108000000.0,108000000.0,108000000.0,105000000.0
Net Tangible Assets,-1273000000.0,-1994000000.0,-2419000000.0,-2874000000.0
Net Receivables,2113000000.0,1900000000.0,1952000000.0,2064000000.0
Long Term Debt,9784000000.0,10791000000.0,10791000000.0,11279000000.0
Inventory,4128000000.0,3915000000.0,3859000000.0,3915000000.0
Accounts Payable,1900000000.0,1997000000.0,1876000000.0,1743000000.0
Short Term Investments,,,,2000000.0
