,2020-06-30,2020-09-30,2020-12-31,2021-03-31
Change To Liabilities,121330000.0,-33521000.0,-6483000.0,206237000.0
Total Cashflows From Investing Activities,-4424000.0,-15222000.0,-13748000.0,-13506000.0
Net Borrowings,-321000000.0,60000000.0,-60000000.0,250000000.0
Total Cash From Financing Activities,-380378000.0,68354000.0,-165683000.0,46763000.0
Change To Operating Activities,78256000.0,50062000.0,61827000.0,-31485000.0
Issuance Of Stock,9026000.0,80247000.0,7115000.0,17709000.0
Net Income,143939000.0,136529000.0,147807000.0,173305000.0
Change In Cash,67664000.0,-109667000.0,-8773000.0,-26185000.0
Repurchase Of Stock,-1171000.0,-1569000.0,-110270000.0,-150916000.0
Effect Of Exchange Rate,5322000.0,5795000.0,8516000.0,-2750000.0
Total Cash From Operating Activities,447144000.0,-168594000.0,162142000.0,-56692000.0
Depreciation,25758000.0,26916000.0,2048000.0,18631000.0
Dividends Paid,-67233000.0,-70324000.0,-2528000.0,-70030000.0
Change To Account Receivables,53041000.0,-352281000.0,-93930000.0,-481357000.0
Change To Netincome,15593000.0,999000.0,-6530000.0,19243000.0
Capital Expenditures,-3780000.0,-5825000.0,-5687000.0,-5435000.0
Other Cashflows From Investing Activities,5525000.0,,,
