,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30
Change To Liabilities,-42000000.0,99000000.0,-82000000.0,-41000000.0,202000000.0
Total Cashflows From Investing Activities,-415000000.0,-323000000.0,-3606000000.0,-334000000.0,-374000000.0
Net Borrowings,-680000000.0,-2409000000.0,2905000000.0,-329000000.0,-290000000.0
Total Cash From Financing Activities,-907000000.0,-2669000000.0,2685000000.0,-830000000.0,-980000000.0
Change To Operating Activities,22000000.0,-19000000.0,69000000.0,6000000.0,-19000000.0
Issuance Of Stock,11000000.0,7000000.0,14000000.0,17000000.0,24000000.0
Net Income,307000000.0,390000000.0,438000000.0,421000000.0,351000000.0
Change In Cash,-465000000.0,-1959000000.0,-165000000.0,-42000000.0,-309000000.0
Repurchase Of Stock,-1000000.0,-278000000.0,-278000000.0,-278000000.0,-250000000.0
Effect Of Exchange Rate,1000000.0,4000000.0,3000000.0,2000000.0,2000000.0
Total Cash From Operating Activities,856000000.0,1029000000.0,753000000.0,1120000000.0,1043000000.0
Depreciation,414000000.0,419000000.0,436000000.0,472000000.0,500000000.0
Other Cashflows From Investing Activities,18000000.0,17000000.0,5000000.0,-72000000.0,23000000.0
Dividends Paid,-230000000.0,-230000000.0,-231000000.0,-247000000.0,-242000000.0
Change To Account Receivables,58000000.0,-109000000.0,-255000000.0,199000000.0,-223000000.0
Other Cashflows From Financing Activities,-7000000.0,-37000000.0,-3000000.0,7000000.0,-222000000.0
Change To Netincome,97000000.0,249000000.0,147000000.0,63000000.0,232000000.0
Capital Expenditures,-436000000.0,-343000000.0,-394000000.0,-270000000.0,-396000000.0
