,2020-06-30,2020-09-30,2020-12-31,2021-03-31
Investments,-14902000000.0,-2515000000.0,704000000.0,224000000.0
Change To Liabilities,977000000.0,868000000.0,2359000000.0,-196000000.0
Total Cashflows From Investing Activities,219000000.0,-4957000000.0,-5557000000.0,4774000000.0
Net Borrowings,-5829000000.0,-3878000000.0,-1715000000.0,-1021000000.0
Total Cash From Financing Activities,638000000.0,-3602000000.0,-686000000.0,461000000.0
Change To Operating Activities,-1101000000.0,-640000000.0,-353000000.0,477000000.0
Issuance Of Stock,17000000.0,1000000.0,10000000.0,31000000.0
Net Income,257000000.0,1073000000.0,1438000000.0,2235000000.0
Change In Cash,3495000000.0,-6476000000.0,-2662000000.0,7315000000.0
Repurchase Of Stock,-2000000.0,-1000000.0,-3000000.0,-513000000.0
Effect Of Exchange Rate,508000000.0,-97000000.0,81000000.0,-200000000.0
Total Cash From Operating Activities,2130000000.0,2180000000.0,3500000000.0,2280000000.0
Depreciation,374000000.0,404000000.0,428000000.0,422000000.0
Dividends Paid,-366000000.0,-363000000.0,-362000000.0,-363000000.0
Other Cashflows From Financing Activities,6818000000.0,639000000.0,1384000000.0,2327000000.0
Change To Netincome,1623000000.0,475000000.0,-372000000.0,-658000000.0
Capital Expenditures,-354000000.0,-354000000.0,-436000000.0,-319000000.0
Other Cashflows From Investing Activities,2000000.0,5000000.0,128000000.0,
