,2020-03-31,2020-06-30,2020-09-30,2020-12-31
Investments,-3375000000.0,-11071000000.0,-4333000000.0,-3463000000.0
Change To Liabilities,-7437000000.0,8863000000.0,3736000000.0,13582000000.0
Total Cashflows From Investing Activities,-8894000000.0,-17804000000.0,-15876000000.0,-17037000000.0
Net Borrowings,-2591000000.0,7408000000.0,-4105000000.0,-1816000000.0
Total Cash From Financing Activities,-2591000000.0,7408000000.0,-4105000000.0,-1816000000.0
Change To Operating Activities,-2761000000.0,1699000000.0,-310000000.0,7129000000.0
Net Income,2535000000.0,5243000000.0,6331000000.0,7222000000.0
Change In Cash,-8905000000.0,10337000000.0,-7640000000.0,12175000000.0
Effect Of Exchange Rate,-484000000.0,127000000.0,377000000.0,597000000.0
Total Cash From Operating Activities,3064000000.0,20606000000.0,11964000000.0,30431000000.0
Depreciation,5362000000.0,5748000000.0,6523000000.0,7618000000.0
Change To Inventory,1392000000.0,-672000000.0,-3899000000.0,329000000.0
Change To Account Receivables,1262000000.0,-2854000000.0,-2016000000.0,-4561000000.0
Change To Netincome,2711000000.0,2579000000.0,1599000000.0,-888000000.0
Capital Expenditures,-6795000000.0,-7459000000.0,-11063000000.0,-14823000000.0
