,2020-06-27,2020-09-26,2021-01-02,2021-04-03
Investments,-204000000.0,-49000000.0,250000000.0,-7000000.0
Change To Liabilities,61000000.0,3000000.0,-117000000.0,118000000.0
Total Cashflows From Investing Activities,-313000000.0,-134000000.0,64000000.0,-189000000.0
Net Borrowings,-19000000.0,-9000000.0,-1196000000.0,322000000.0
Total Cash From Financing Activities,-243000000.0,-213000000.0,-1409000000.0,-95000000.0
Change To Operating Activities,51000000.0,150000000.0,-87000000.0,-141000000.0
Issuance Of Stock,14000000.0,45000000.0,7000000.0,18000000.0
Net Income,351000000.0,348000000.0,205000000.0,368000000.0
Change In Cash,31000000.0,282000000.0,-894000000.0,-44000000.0
Repurchase Of Stock,-240000000.0,-240000000.0,-240000000.0,-240000000.0
Effect Of Exchange Rate,7000000.0,7000000.0,58000000.0,5000000.0
Total Cash From Operating Activities,580000000.0,622000000.0,393000000.0,235000000.0
Depreciation,117000000.0,121000000.0,124000000.0,112000000.0
Other Cashflows From Investing Activities,-3000000.0,23000000.0,-9000000.0,-9000000.0
Dividends Paid,-195000000.0,-196000000.0,-196000000.0,-195000000.0
Change To Inventory,-34000000.0,-24000000.0,3000000.0,-50000000.0
Change To Account Receivables,29000000.0,52000000.0,188000000.0,-155000000.0
Change To Netincome,5000000.0,-28000000.0,77000000.0,-17000000.0
Capital Expenditures,-106000000.0,-108000000.0,-179000000.0,-173000000.0
Other Cashflows From Financing Activities,-43000000.0,-53000000.0,-24000000.0,
