,2020-06-27,2020-09-26,2021-01-02,2021-04-03,2021-07-03,2021-10-02
Intangible Assets,4106400000.0,4069000000.0,4055400000.0,3990100000.0,3945400000.0,3892900000.0
Capital Surplus,4773200000.0,4785300000.0,4832700000.0,4842800000.0,4816600000.0,4842300000.0
Total Liab,13018800000.0,12661600000.0,12499900000.0,12471200000.0,12876900000.0,13008400000.0
Total Stockholder Equity,8459500000.0,8872900000.0,9559600000.0,9901800000.0,10334000000.0,10566300000.0
Minority Interest,6100000.0,6400000.0,6800000.0,3000000.0,2000000.0,1900000.0
Other Current Liab,121700000.0,135800000.0,615800000.0,137500000.0,120900000.0,104400000.0
Total Assets,22984400000.0,23040900000.0,23566300000.0,23876000000.0,23962900000.0,24326600000.0
Common Stock,442300000.0,442300000.0,442300000.0,442300000.0,442300000.0,442300000.0
Other Current Assets,436900000.0,465100000.0,34700000.0,21600000.0,32700000.0,41000000.0
Retained Earnings,6924500000.0,7200400000.0,7547600000.0,7915500000.0,8258600000.0,8546800000.0
Other Liab,3224500000.0,3180300000.0,3300600000.0,3247800000.0,2813000000.0,2745600000.0
Good Will,9805200000.0,9887000000.0,10038100000.0,9975100000.0,9989300000.0,9944100000.0
Treasury Stock,-3680500000.0,-3555100000.0,-3263000000.0,-3298800000.0,-3183500000.0,-3265100000.0
Other Assets,762900000.0,766200000.0,860200000.0,876500000.0,956600000.0,1100300000.0
Cash,859800000.0,683000000.0,1381000000.0,949200000.0,440400000.0,292700000.0
Total Current Liabilities,4578300000.0,4221800000.0,4558300000.0,4578400000.0,5402500000.0,5580800000.0
Short Long Term Debt,3100000.0,3100000.0,90900000.0,38700000.0,63500000.0,60600000.0
Other Stockholder Equity,-2040600000.0,-1961100000.0,-1713700000.0,-1811400000.0,-1787000000.0,-1874800000.0
Property Plant Equipment,2540400000.0,2531700000.0,2576600000.0,2511300000.0,2515900000.0,2512900000.0
Total Current Assets,5769500000.0,5787000000.0,6036000000.0,6523000000.0,6555700000.0,6876400000.0
Net Tangible Assets,-5452100000.0,-5083100000.0,-4533900000.0,-4063400000.0,-3600700000.0,-3270700000.0
Net Receivables,1719400000.0,1764200000.0,1512200000.0,1994800000.0,1994700000.0,1989000000.0
Long Term Debt,4772700000.0,4770600000.0,4245400000.0,4245700000.0,4246200000.0,4246900000.0
Inventory,2753400000.0,2874700000.0,2737400000.0,3137400000.0,3679500000.0,4134400000.0
Accounts Payable,2117400000.0,2345300000.0,2446400000.0,2653200000.0,2998700000.0,3055700000.0
