,2020-06-30,2020-09-30,2020-12-31,2021-03-31
Change To Liabilities,9000000.0,-21000000.0,84000000.0,-8000000.0
Total Cashflows From Investing Activities,-141000000.0,-242000000.0,-155000000.0,-180000000.0
Net Borrowings,-63000000.0,-749000000.0,-2000000.0,595000000.0
Total Cash From Financing Activities,-64000000.0,-890000000.0,-229000000.0,257000000.0
Change To Operating Activities,-346000000.0,366000000.0,267000000.0,-156000000.0
Issuance Of Stock,32000000.0,58000000.0,46000000.0,76000000.0
Net Income,-462000000.0,523000000.0,873000000.0,456000000.0
Change In Cash,146000000.0,-755000000.0,1278000000.0,854000000.0
Repurchase Of Stock,-10000000.0,-25000000.0,-77000000.0,-214000000.0
Effect Of Exchange Rate,16000000.0,19000000.0,42000000.0,-22000000.0
Total Cash From Operating Activities,335000000.0,358000000.0,1620000000.0,799000000.0
Depreciation,164000000.0,156000000.0,160000000.0,159000000.0
Other Cashflows From Investing Activities,14000000.0,-80000000.0,-21000000.0,-42000000.0
Dividends Paid,-1000000.0,-174000000.0,-194000000.0,-193000000.0
Change To Inventory,38000000.0,-94000000.0,161000000.0,-54000000.0
Change To Account Receivables,673000000.0,-607000000.0,-113000000.0,214000000.0
Other Cashflows From Financing Activities,-22000000.0,-2000000.0,-2000000.0,-7000000.0
Change To Netincome,259000000.0,35000000.0,188000000.0,188000000.0
Capital Expenditures,-155000000.0,-116000000.0,-134000000.0,-136000000.0
Investments,-40000000.0,-40000000.0,,
