,2020-06-27,2020-09-26,2020-12-31,2021-04-03
Change To Liabilities,-75400000.0,36800000.0,-17900000.0,18500000.0
Total Cashflows From Investing Activities,53100000.0,-38600000.0,-127500000.0,-114000000.0
Total Cash From Financing Activities,602100000.0,-646500000.0,-201400000.0,-43300000.0
Change To Operating Activities,-29600000.0,26800000.0,5800000.0,-72300000.0
Net Income,60600000.0,-154600000.0,-175000000.0,38100000.0
Change In Cash,945900000.0,-606900000.0,-207900000.0,-161000000.0
Effect Of Exchange Rate,-200000.0,15100000.0,10600000.0,-3900000.0
Total Cash From Operating Activities,290900000.0,63100000.0,110400000.0,200000.0
Depreciation,94700000.0,96900000.0,100100000.0,90400000.0
Other Cashflows From Investing Activities,800000.0,6100000.0,1300000.0,300000.0
Dividends Paid,-31000000.0,-31100000.0,-30900000.0,-32600000.0
Change To Inventory,-75100000.0,-54600000.0,-77400000.0,-83200000.0
Change To Account Receivables,295500000.0,-121500000.0,62500000.0,-30300000.0
Other Cashflows From Financing Activities,-10300000.0,-23900000.0,-2300000.0,-10700000.0
Change To Netincome,36800000.0,229500000.0,210300000.0,12000000.0
Capital Expenditures,-26400000.0,-45500000.0,-67200000.0,-115700000.0
Net Borrowings,643400000.0,-591500000.0,-4000000.0,
Repurchase Of Stock,-164200000.0,-164200000.0,-164200000.0,
Investments,-15000000.0,,,
