,2019-09-30,2019-12-31,2020-03-31,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Intangible Assets,,102912000.0,,74567000.0,75886000.0,69325000.0,63653000.0,57981000.0,52308000.0
Capital Surplus,,617690000.0,,744413000.0,8904791000.0,10339480000.0,10639267000.0,10864266000.0,11140284000.0
Total Liab,,5886302000.0,,6873261000.0,7589716000.0,9179654000.0,12091609000.0,9133069000.0,8932761000.0
Total Stockholder Equity,,-807685000.0,-807685000.0,-1376284000.0,2901783000.0,3159423000.0,3393201000.0,4448934000.0,4775713000.0
Other Current Liab,,4242300000.0,,3393704000.0,4019636000.0,5403808000.0,8250912000.0,5274682000.0,4619199000.0
Total Assets,,8310119000.0,,8728479000.0,10491499000.0,12339077000.0,15484810000.0,13582003000.0,13708474000.0
Common Stock,,26000.0,,26000.0,60000.0,61000.0,62000.0,62000.0,63000.0
Other Current Assets,,3150835000.0,,2421315000.0,2227653000.0,4060130000.0,6336526000.0,3978402000.0,3730235000.0
Retained Earnings,,-1420991000.0,,-2117856000.0,-6005707000.0,-7177918000.0,-7246135000.0,-6412242000.0,-6357741000.0
Other Liab,,271164000.0,,297824000.0,203470000.0,204305000.0,202622000.0,208335000.0,218459000.0
Good Will,,652088000.0,,653766000.0,655801000.0,654017000.0,654554000.0,653639000.0,652602000.0
Treasury Stock,,-4410000.0,,-2867000.0,2639000.0,-2200000.0,7000.0,-3152000.0,-6893000.0
Other Assets,,162580000.0,,159216000.0,99574000.0,87544000.0,98748000.0,105981000.0,188563000.0
Cash,,2013547000.0,,2664390000.0,5480557000.0,4482641000.0,5672682000.0,5994698000.0,6067438000.0
Total Current Liabilities,,5233764000.0,,4384056000.0,5139779000.0,6573192000.0,9496350000.0,6559314000.0,6359282000.0
Other Stockholder Equity,,-4410000.0,,-2867000.0,2639000.0,-2200000.0,7000.0,-3152000.0,-6893000.0
Property Plant Equipment,,686867000.0,,615693000.0,654262000.0,511973000.0,482322000.0,453934000.0,428621000.0
Total Current Assets,,6561443000.0,,7212208000.0,8916386000.0,10926641000.0,14095982000.0,12220917000.0,12386380000.0
Long Term Investments,,144229000.0,,13029000.0,89590000.0,89577000.0,89551000.0,89551000.0,
Net Tangible Assets,,-1562685000.0,-1562685000.0,-2104617000.0,2170096000.0,2436081000.0,2674994000.0,3737314000.0,4070803000.0
Short Term Investments,,1060726000.0,,1830821000.0,910700000.0,2086666000.0,1755257000.0,1926005000.0,2255038000.0
Net Receivables,,,,184838000.0,,95934000.0,106193000.0,113749000.0,
Long Term Debt,,,,1811302000.0,1815562000.0,1979398000.0,1980455000.0,1981496000.0,1982537000.0
Accounts Payable,,151417000.0,,45972000.0,79898000.0,116688000.0,97669000.0,97093000.0,118361000.0
Short Long Term Debt,,,,27856000.0,26755000.0,,,,
