,2020-07-26,2020-10-25,2021-01-31,2021-05-02,2021-08-01,2021-10-31
Investments,175000000.0,21000000.0,-83000000.0,-15000000.0,-57000000.0,-381000000.0
Change To Liabilities,216000000.0,15000000.0,-84000000.0,314000000.0,291000000.0,699000000.0
Total Cashflows From Investing Activities,8000000.0,-141000000.0,-216000000.0,-219000000.0,-194000000.0,-587000000.0
Total Cash From Financing Activities,-1806000000.0,-173000000.0,-343000000.0,-883000000.0,-1731000000.0,-1634000000.0
Change To Operating Activities,16000000.0,7000000.0,108000000.0,-80000000.0,-12000000.0,-582000000.0
Issuance Of Stock,83000000.0,83000000.0,86000000.0,86000000.0,89000000.0,89000000.0
Net Income,841000000.0,1131000000.0,1130000000.0,1330000000.0,1716000000.0,1712000000.0
Change In Cash,-931000000.0,1001000000.0,862000000.0,85000000.0,-239000000.0,-1073000000.0
Repurchase Of Stock,-203000000.0,-56000000.0,-142000000.0,-767000000.0,-1512000000.0,-1507000000.0
Total Cash From Operating Activities,867000000.0,1315000000.0,1421000000.0,1187000000.0,1686000000.0,1148000000.0
Depreciation,94000000.0,97000000.0,94000000.0,97000000.0,98000000.0,105000000.0
Dividends Paid,-202000000.0,-200000000.0,-201000000.0,-202000000.0,-219000000.0,-216000000.0
Change To Inventory,-217000000.0,48000000.0,-21000000.0,-128000000.0,-64000000.0,-192000000.0
Change To Account Receivables,-179000000.0,-156000000.0,-81000000.0,-330000000.0,-447000000.0,-1131000000.0
Change To Netincome,182000000.0,60000000.0,283000000.0,66000000.0,86000000.0,69000000.0
Capital Expenditures,-87000000.0,-162000000.0,-121000000.0,-204000000.0,-137000000.0,-206000000.0
Net Borrowings,-1401000000.0,,,,,
